식품명,평균잔반량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg)
백김치,28,16,0.95,0.07,3,1.04,1.9,35,0.24,29,187,395,2,15.98,0
잔치국수,55,67,2.35,0.83,12.19,0.62,0.6,10,0.32,28,73,308,12,0.53,0.03
가자미구이,72,151,22.61,6.42,0.76,0.58,0,186,0.35,247,264,489,,3.82,0
가자미튀김,57,225,20.7,12.36,5.54,0.01,0.2,40,0.81,188,344,758,17,1.73,14.01
갈비탕,55.67540984,39,2.19,2.13,2.71,0.26,0.2,6,0.45,21,59,109,2,0.72,0.02
감자국,383,32,1.19,0.79,4.94,0.74,0.7,17,0,23,163,245,1,1.03,
감자전,24.71348315,41,0.8,1.42,6.2,0.11,0.9,3,0.18,12,116,1,7,3.05,0
감자튀김,30,114,2.1,4.78,15.88,0,2.8,10,0.61,35,435,432,0,11.04,0
갓김치,11.48351648,37,3.26,0.4,7.07,2.46,3,103,0.83,49,328,720,101,1.65,0
검정콩밥,79.59459459,136,3.3,0.79,27.6,0.35,1.2,7,0.3,50,81,1,0,0.13,0
게맛살튀김,33.46666667,213,6.1,8.61,26.31,1.57,0.5,151,0.42,99,55,440,8,0.01,0.06
계란빵,30,158,6,1.99,27.2,1.35,0.9,64,0.7,129,64,193,24,0.06,0.21
고등어구이,105.6666667,202,13.37,13.22,6.25,0,0.1,22,0.86,150,206,196,7,3.07,5.24
고추잡채,10.72169168,67,4.18,3.91,4.21,1.49,1.4,13,0.44,52,150,159,12,8.52,0.05
곤드레밥,27.58187135,124,2.2,0.94,26.8,0.15,4.4,7,0.26,37,23,9,2,0.19,0
골뱅이무침,21.79527559,109,7.08,1.97,15.69,10.46,3.7,38,0.01,72,224,526,69,0,
과일샐러드,54.53658537,65,0.53,3.8,7.84,5.92,1.3,10,0.15,15,87,24,8,6.9,0
군만두,37.06060606,219,8.5,9.25,25.22,0.44,5.3,59,2.81,95,215,237,9,0,0
굴비구이,15.92307692,122,11.83,7.4,0.98,0,0,18,3.81,149,86,109,0,0,6.32
귀리밥,66.42857143,162,3.9,0.87,34.54,0.09,1.6,11,0.32,55,47,0,,0,0
기장밥,10.35519387,129,2.5,0.39,27.57,0.17,0.8,3,0.16,39,35,1,0,0,0
김말이튀김,92.75,195,2.05,7.2,30.51,1.88,1.3,105,1.04,53,77,460,41,0,0
김치국,39.2,20,1.2,0.62,2.33,0.64,1,25,0,26,115,365,14,0.4,
김치전,44,164,5.1,7.4,18.09,2.15,2.3,43,0.53,76,218,383,30,2.51,0.22
깍두기,9.736685903,40,1.36,0.21,8.27,3.22,,32,0.29,25,258,523,11,2.91,0
깻잎김치,8.173352436,83,3.44,2.44,11.77,5.79,4.3,106,1.19,41,323,836,,0.36,0
깻잎찜,17.14814815,112,3.96,4.6,13.6,6.5,3.7,110,1.34,43,290,839,,0.3,0
꼬리곰탕,308.8076923,40,2.3,2.17,2.29,0.23,0.1,4,0.23,23,36,79,1,0.27,0
꽃게탕,98.77977162,18,2.3,0.29,1.65,0.58,0.6,19,0.36,30,97,182,7,1.14,0.03
꿀떡,20,228,3.74,1.73,49.48,0.29,0.8,15,0.36,52,39,275,0,0,0
나박김치,42.92857143,10,0.46,0.38,1.15,0.34,0.8,8,0.2,10,89,377,1,2.14,0
노각무침,5.739130435,56,1.73,1.2,9.53,4.73,2.7,27,0,47,263,545,33,2.37,
느타리버섯볶음,43.10526316,87,3.61,4.66,7.69,3.24,4.4,34,0.75,107,241,453,,1.51,0
단무지,40.34615385,13,0.33,0.2,2.4,0.47,1.3,11,0.1,11,49,552,0,3.13,0
단무지무침,8.04620462,40,1,1.6,5.6,1.4,3.2,30,0,22,107,858,19,0.52,
달걀말이,4.194029851,169,10.6,12.78,1.31,0.58,0.3,41,1.61,144,131,661,127,0.33,0.85
달걀찜,16.08940646,119,11.1,7.01,1.66,0.62,0.4,44,1.73,151,142,871,121,0.4,0.88
닭강정,70,146,13.5,4.3,12.02,3.09,0.2,11,0.76,74,203,355,42,0.07,0.06
닭곰탕,118.6964448,48,4.6,1.98,2.73,0.4,0.4,7,0.34,44,96,171,11,1.55,0
닭꼬치구이,53.4,181,32.1,2.58,5.55,3.8,0.1,16,1.53,150,445,122,68,0.8,0
닭다리구이,0,90,8.53,4.69,2.72,0.87,0.1,6,0.32,81,122,203,18,0.18,0
